DZ,Dzname,SIMD_Overall.Rank,SIMD_Income.Rank,SIMD_Employment.Rank,SIMD_Health.Rank,SIMD_Crime.Count,SIMD_Crime.Rank,Population,Working.Age.Population,University.Qual,Lacode,Laname,SPCcode,SPCname,Postcode
S01010434,Scotstoun South and West - 03,242,187,216,273,17,2463,620,453,0.05,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 9YG
S01010435,Scotstoun South and West - 04,1735,1379.5,2342,912,39,672,645,418,0.08,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 0YF
S01010436,Scotstoun South and West - 05,469,755,284,472,58,468,799,601,0.03,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 9XF
S01010437,Yoker South - 01,1819,1460,1681,1623,15,2567.5,570,384,0.05,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 0EN
S01010438,Yoker South - 02,1020,815,818,1333,30,1858,873,586,0.09,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 0LH
S01010439,Yoker South - 03,1331,1152,1074,1741,37,1623,980,736,0.09,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 0JX
S01010440,Yoker South - 04,502,402,305,463,35,787,626,425,0.14,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 0PZ
S01010441,Yoker South - 05,3920,4000,3629,3515,28,2328,965,785,0.08,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 0PT
S01010442,Yoker South - 06,1204,1246,1061,1738,25,2002,768,589,0.06,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G14 0YH
S01010443,Yoker North - 01,2995,2829,3831,2415,7,4635,559,370,0.07,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 4NA
S01010444,Yoker North - 02,1358,1286,1538,732,19,2343,660,402,0.07,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 4LU
S01010445,Yoker North - 03,877,469,1021,879,17,3684,939,471,0.07,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 4HF
S01010446,Yoker North - 04,3291,2856,3352,2297,12,4248,825,562,0.09,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 4NH
S01010447,Knightswood West - 01,580,496,290,514,28,2478,1029,710,0.16,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 4QF
S01010448,Knightswood West - 02,2665,2518,2603,2290,20,2934,855,597,0.04,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 4AE
S01010449,Knightswood West - 03,1522,1331,1487,1182,16,3142,736,448,0.08,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 4RQ
S01010450,Knightswood East - 01,1349,1304,1249,1342,15,3492,777,485,0.06,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 3YX
S01010451,Knightswood East - 02,387,348.5,123,538,55,587,851,565,0.13,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 1TP
S01010452,Knightswood East - 03,1991,1795,1612,1829,18,2954,777,459,0.04,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 3AJ
S01010453,Knightswood East - 04,624,695,296,887,41,866,761,571,0.05,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 3RU
S01010454,Knightswood East - 05,2037,1569.5,1501,2451,17,3148,784,471,0.08,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 3SS
S01010455,Knightswood Park West - 01,52,85,18,23,53,684,886,593,0.02,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 6NE
S01010456,Knightswood Park West - 02,2151,1758,2677,880,8,4206,538,329,0.07,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 3JN
S01010457,Knightswood Park West - 03,2515,3130.5,2331,2462,47,298,547,374,0.04,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 3LR
S01010458,Knightswood Park West - 04,813,714,595,992,25,1963,757,484,0.05,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 3AX
S01010459,Knightswood Park West - 05,1968,1593.5,2101,1493,4,5680,553,373,0.06,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 3TR
S01010460,Knightswood Park East - 01,6031,4592,5752,5888,7,5379,811,545,0.10,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 3YD
S01010461,Knightswood Park East - 02,500,419,299,795,36,775,639,367,0.06,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 3LP
S01010462,Knightswood Park East - 03,183,130,147,608,51,900,971,704,0.07,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 3PH
S01010463,Knightswood Park East - 04,3328,2774.5,3046,2580,12,4173,798,517,0.16,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 3YS
S01010464,Knightswood Park East - 05,2696,2304,2948,2121,11,3051,494,339,0.07,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 3YJ
S01010465,Anniesland East - 01,5519,5757,5551,4760,9,5231,957,691,0.12,S12000049,Glasgow City,S16000118,Glasgow Maryhill and Springburn,G20 0TB
S01010466,Anniesland East - 02,6068,5850,5226,5145,11,4545,846,666,0.14,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G61 1QF
S01010467,Anniesland East - 03,4965,4267,4737,3192,9,5100,899,510,0.12,S12000049,Glasgow City,S16000118,Glasgow Maryhill and Springburn,G12 0BW
S01010468,Anniesland East - 04,5362,4734,5389,5287,15,4050,955,658,0.12,S12000049,Glasgow City,S16000118,Glasgow Maryhill and Springburn,G12 0FA
S01010469,Anniesland East - 05,1808,2139,1399,1579,35,683,585,477,0.03,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 1HH
S01010470,Anniesland West - 01,1824,1805,1895,870,17,3048,763,474,0.05,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 2XY
S01010471,Anniesland West - 02,1921,1453,2596,1646,14,3339,688,460,0.06,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 2TD
S01010472,Anniesland West - 03,2325,2181.5,2262,1778,16,3298,776,621,0.19,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 1AZ
S01010473,Anniesland West - 04,4297,4230,3790,4005,13,3964,798,574,0.07,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 1LJ
S01010474,Anniesland West - 05,3882,3261,3233,3330,9,4885,800,636,0.10,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 1DE
S01010475,Anniesland West - 06,5774,5812,5441,4761,5,5774,737,593,0.06,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 1EE
S01010476,Anniesland West - 07,3935,3318.5,4020,2549,26,3098,1182,796,0.12,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 2BE
S01010477,Anniesland West - 08,2748,2734,2924,2166,15,3648,819,546,0.06,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 3QS
S01010478,Blairdardie East - 01,298,608,90,188,30,2144,970,694,0.10,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 2HS
S01010479,Blairdardie East - 02,1821,1698,1796,1074,24,3061,1080,685,0.08,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 2DR
S01010480,Blairdardie East - 03,2017,1542,2249,1581,20,1882,587,387,0.06,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 3XQ
S01010481,Blairdardie East - 04,223,97,332,359,14,3055,629,412,0.05,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 2RJ
S01010482,Blairdardie East - 05,2018,1709,1715,1127,7,5394,820,545,0.11,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 2QU
S01010483,Blairdardie East - 06,1276,1194,1187,915,19,3571,1011,657,0.09,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 2DT
S01010484,Blairdardie East - 07,1440,1394,2213,1232,12,3109,547,351,0.08,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 2PB
S01010485,Blairdardie West - 01,3157,2814,3765,2989,25,2636,972,668,0.08,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 6QU
S01010486,Blairdardie West - 02,5710,5975,5458,4835,33,1747,919,615,0.13,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 6RU
S01010487,Blairdardie West - 03,3455,3104,3436,2839,7,5758,1022,630,0.11,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 6HF
S01010488,Drumchapel South - 01,435,370,789,282,34,1292,782,510,0.05,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 6DE
S01010489,Drumchapel South - 02,609,421.5,726,1154,56,928,1082,563,0.07,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 8SX
S01010490,Drumchapel South - 03,204,86,391,367,37,871,689,433,0.06,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 6DP
S01010491,Drumchapel North - 01,152,123,114,275,17,2976,742,484,0.03,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 6AN
S01010492,Drumchapel North - 02,70,27,236,58,22,1565,568,330,0.02,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 7YP
S01010493,Drumchapel North - 03,23,17,71,38,36,841,661,416,0.03,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 7SP
S01010494,Drumchapel North - 04,1075,906,1387.5,1454,22,1677,597,402,0.04,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 7LG
S01010495,Drumchapel North - 05,63,122,82,15,43,863,797,536,0.02,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 7NE
S01010496,Drumry East - 01,195,216,199,115,32,1600,841,568,0.03,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 7AA
S01010497,Drumry East - 02,380,522,445,52,18,2439,650,438,0.05,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 8HQ
S01010498,Drumry East - 03,314,389,459.5,412,30,2043,935,627,0.04,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 8RX
S01010499,Drumry East - 04,19,20,75,78,111,80,738,442,0.02,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 7TG
S01010500,Drumry West - 01,424,344,618,179,30,2280,1022,664,0.07,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 8PH
S01010501,Drumry West - 02,1017,1163,990.5,471,23,3308,1119,748,0.04,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 8BA
S01010502,Drumry West - 03,2219,2322,2008,1550,16,3410,806,563,0.09,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 8BW
S01010503,Drumry West - 04,344,262,480,243,24,1657,647,440,0.01,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G15 8PE
